support,itemsets
0.7191466378611936,"frozenset({'F7_Apr', 'F10_Apr'})"
0.5255198487712666,"frozenset({'SM1_Apr', 'F7_Apr'})"
0.5590062111801242,"frozenset({'SM2_Apr', 'F7_Apr'})"
0.5468539022414258,"frozenset({'F7_Apr', 'SM3_Apr'})"
0.544963543073184,"frozenset({'SM4_Apr', 'F7_Apr'})"
0.5284904131785039,"frozenset({'SM5_Apr', 'F7_Apr'})"
0.7099648933297327,"frozenset({'Apr_1', 'F7_Apr'})"
0.592222522279233,"frozenset({'F7_Apr', 'Sexo_0'})"
0.7091547394004861,"frozenset({'F8_Apr', 'F9_Apr'})"
0.7215770996489334,"frozenset({'F10_Apr', 'F8_Apr'})"
0.5112071293545773,"frozenset({'SM1_Apr', 'F8_Apr'})"
0.539292465568458,"frozenset({'SM2_Apr', 'F8_Apr'})"
0.5306508236564947,"frozenset({'F8_Apr', 'SM3_Apr'})"
0.5268701053200108,"frozenset({'SM4_Apr', 'F8_Apr'})"
0.5090467188765866,"frozenset({'SM5_Apr', 'F8_Apr'})"
0.7013232514177694,"frozenset({'Apr_1', 'F8_Apr'})"
0.5843910342965163,"frozenset({'F8_Apr', 'Sexo_0'})"
0.7267080745341615,"frozenset({'F10_Apr', 'F9_Apr'})"
0.5163381042398055,"frozenset({'SM1_Apr', 'F9_Apr'})"
0.5498244666486632,"frozenset({'SM2_Apr', 'F9_Apr'})"
0.5425330812854442,"frozenset({'SM3_Apr', 'F9_Apr'})"
0.5417229273561976,"frozenset({'SM4_Apr', 'F9_Apr'})"
0.5211990278152849,"frozenset({'SM5_Apr', 'F9_Apr'})"
0.7018633540372671,"frozenset({'Apr_1', 'F9_Apr'})"
0.5806103159600324,"frozenset({'Sexo_0', 'F9_Apr'})"
0.5220091817445315,"frozenset({'SM1_Apr', 'F10_Apr'})"
0.5517148258169052,"frozenset({'SM2_Apr', 'F10_Apr'})"
0.5455036456926816,"frozenset({'F10_Apr', 'SM3_Apr'})"
0.5395625168782069,"frozenset({'SM4_Apr', 'F10_Apr'})"
0.5271401566297597,"frozenset({'SM5_Apr', 'F10_Apr'})"
0.714825816905212,"frozenset({'Apr_1', 'F10_Apr'})"
0.5916824196597353,"frozenset({'F10_Apr', 'Sexo_0'})"
0.5684580070213341,"frozenset({'SM2_Apr', 'SM1_Apr'})"
0.5487442614096678,"frozenset({'SM1_Apr', 'SM3_Apr'})"
0.5395625168782069,"frozenset({'SM1_Apr', 'SM4_Apr'})"
0.519308668647043,"frozenset({'SM5_Apr', 'SM1_Apr'})"
0.5222792330542804,"frozenset({'Apr_1', 'SM1_Apr'})"
0.586821496084256,"frozenset({'SM2_Apr', 'SM3_Apr'})"
0.5789900081015393,"frozenset({'SM2_Apr', 'SM4_Apr'})"
0.5541452876046449,"frozenset({'SM2_Apr', 'SM5_Apr'})"
0.5063462057790981,"frozenset({'SM2_Apr', 'SM6_Apr'})"
0.5120172832838239,"frozenset({'SM2_Apr', 'SM7_Apr'})"
0.5608965703483662,"frozenset({'SM2_Apr', 'Apr_1'})"
0.5703483661895761,"frozenset({'SM4_Apr', 'SM3_Apr'})"
0.5509046718876587,"frozenset({'SM5_Apr', 'SM3_Apr'})"
0.5014852822036187,"frozenset({'SM6_Apr', 'SM3_Apr'})"
0.5060761544693492,"frozenset({'SM7_Apr', 'SM3_Apr'})"
0.546583850931677,"frozenset({'Apr_1', 'SM3_Apr'})"
0.5492843640291656,"frozenset({'SM5_Apr', 'SM4_Apr'})"
0.5041857953011072,"frozenset({'SM7_Apr', 'SM4_Apr'})"
0.5506346205779098,"frozenset({'Apr_1', 'SM4_Apr'})"
0.5309208749662436,"frozenset({'SM5_Apr', 'Apr_1'})"
0.6194977045638671,"frozenset({'Apr_1', 'Sexo_0'})"
0.5203888738860384,"frozenset({'C1_Apr', 'C2_Apr', 'CR_0'})"
0.5233594382932757,"frozenset({'C2_Apr', 'C1_Apr', 'Apr_1'})"
0.5414528760464489,"frozenset({'F1_Apr', 'C1_Apr', 'CR_0'})"
0.5660275452335943,"frozenset({'C1_Apr', 'CR_0', 'F2_Apr'})"
0.5619767755873616,"frozenset({'C1_Apr', 'F3_Apr', 'CR_0'})"
0.5195787199567918,"frozenset({'C1_Apr', 'CR_0', 'F4_Apr'})"
0.5395625168782069,"frozenset({'F5_Apr', 'C1_Apr', 'CR_0'})"
0.5301107210369971,"frozenset({'F6_Apr', 'C1_Apr', 'CR_0'})"
0.526600054010262,"frozenset({'C1_Apr', 'CR_0', 'F7_Apr'})"
0.5125573859033217,"frozenset({'C1_Apr', 'CR_0', 'F8_Apr'})"
0.5195787199567918,"frozenset({'C1_Apr', 'CR_0', 'F9_Apr'})"
0.5198487712665406,"frozenset({'C1_Apr', 'CR_0', 'F10_Apr'})"
0.5838509316770186,"frozenset({'C1_Apr', 'Apr_1', 'CR_0'})"
0.5787199567917904,"frozenset({'F1_Apr', 'C1_Apr', 'F2_Apr'})"
0.5695382122603294,"frozenset({'F1_Apr', 'C1_Apr', 'F3_Apr'})"
0.5287604644882528,"frozenset({'F1_Apr', 'C1_Apr', 'F4_Apr'})"
0.5530650823656494,"frozenset({'F1_Apr', 'F5_Apr', 'C1_Apr'})"
0.5376721577099649,"frozenset({'F1_Apr', 'C1_Apr', 'F6_Apr'})"
0.5384823116392115,"frozenset({'F1_Apr', 'C1_Apr', 'F7_Apr'})"
0.526600054010262,"frozenset({'F1_Apr', 'C1_Apr', 'F8_Apr'})"
0.5325411828247367,"frozenset({'F1_Apr', 'C1_Apr', 'F9_Apr'})"
0.5311909262759924,"frozenset({'F1_Apr', 'C1_Apr', 'F10_Apr'})"
0.5743991358358088,"frozenset({'F1_Apr', 'C1_Apr', 'Apr_1'})"
0.5930326762084797,"frozenset({'C1_Apr', 'F3_Apr', 'F2_Apr'})"
0.553875236294896,"frozenset({'F2_Apr', 'C1_Apr', 'F4_Apr'})"
0.5752092897650554,"frozenset({'F5_Apr', 'C1_Apr', 'F2_Apr'})"
0.5617067242776127,"frozenset({'F6_Apr', 'C1_Apr', 'F2_Apr'})"
0.5614366729678639,"frozenset({'F2_Apr', 'C1_Apr', 'F7_Apr'})"
0.5425330812854442,"frozenset({'C1_Apr', 'F2_Apr', 'F8_Apr'})"
0.5511747231974075,"frozenset({'C1_Apr', 'F2_Apr', 'F9_Apr'})"
0.5503645692681609,"frozenset({'C1_Apr', 'F2_Apr', 'F10_Apr'})"
0.6027545233594382,"frozenset({'C1_Apr', 'Apr_1', 'F2_Apr'})"
0.5527950310559007,"frozenset({'C1_Apr', 'F3_Apr', 'F4_Apr'})"
0.5703483661895761,"frozenset({'F5_Apr', 'C1_Apr', 'F3_Apr'})"
0.5573859033216311,"frozenset({'F6_Apr', 'C1_Apr', 'F3_Apr'})"
0.55765595463138,"frozenset({'C1_Apr', 'F3_Apr', 'F7_Apr'})"
0.543073183904942,"frozenset({'C1_Apr', 'F3_Apr', 'F8_Apr'})"
0.5517148258169052,"frozenset({'C1_Apr', 'F3_Apr', 'F9_Apr'})"
0.5503645692681609,"frozenset({'C1_Apr', 'F3_Apr', 'F10_Apr'})"
0.5962732919254659,"frozenset({'Apr_1', 'C1_Apr', 'F3_Apr'})"
0.5349716446124764,"frozenset({'F5_Apr', 'C1_Apr', 'F4_Apr'})"
0.5257899000810153,"frozenset({'F6_Apr', 'C1_Apr', 'F4_Apr'})"
0.5238995409127735,"frozenset({'C1_Apr', 'F4_Apr', 'F7_Apr'})"
0.5130974885228193,"frozenset({'C1_Apr', 'F4_Apr', 'F8_Apr'})"
0.5166081555495544,"frozenset({'C1_Apr', 'F4_Apr', 'F9_Apr'})"
0.5184985147177964,"frozenset({'C1_Apr', 'F4_Apr', 'F10_Apr'})"
0.5549554415338914,"frozenset({'C1_Apr', 'Apr_1', 'F4_Apr'})"
0.5463137996219282,"frozenset({'F6_Apr', 'F5_Apr', 'C1_Apr'})"
0.544963543073184,"frozenset({'F5_Apr', 'C1_Apr', 'F7_Apr'})"
0.5293005671077504,"frozenset({'F5_Apr', 'C1_Apr', 'F8_Apr'})"
0.5379422090197138,"frozenset({'F5_Apr', 'C1_Apr', 'F9_Apr'})"
0.5336213880637322,"frozenset({'F5_Apr', 'C1_Apr', 'F10_Apr'})"
0.5741290845260599,"frozenset({'F5_Apr', 'C1_Apr', 'Apr_1'})"
0.5301107210369971,"frozenset({'F6_Apr', 'C1_Apr', 'F7_Apr'})"
0.5184985147177964,"frozenset({'F6_Apr', 'C1_Apr', 'F8_Apr'})"
0.526600054010262,"frozenset({'F6_Apr', 'C1_Apr', 'F9_Apr'})"
0.5260599513907642,"frozenset({'F6_Apr', 'C1_Apr', 'F10_Apr'})"
0.5617067242776127,"frozenset({'F6_Apr', 'C1_Apr', 'Apr_1'})"
0.5168782068593033,"frozenset({'C1_Apr', 'F7_Apr', 'F8_Apr'})"
0.5314609775857413,"frozenset({'C1_Apr', 'F7_Apr', 'F9_Apr'})"
0.522819335673778,"frozenset({'C1_Apr', 'F7_Apr', 'F10_Apr'})"
0.5633270321361059,"frozenset({'C1_Apr', 'Apr_1', 'F7_Apr'})"
0.5179584120982986,"frozenset({'C1_Apr', 'F8_Apr', 'F9_Apr'})"
0.5206589251957872,"frozenset({'C1_Apr', 'F10_Apr', 'F8_Apr'})"
0.5490143127194167,"frozenset({'C1_Apr', 'Apr_1', 'F8_Apr'})"
0.5295706184174993,"frozenset({'C1_Apr', 'F10_Apr', 'F9_Apr'})"
0.5554955441533892,"frozenset({'C1_Apr', 'Apr_1', 'F9_Apr'})"
0.559276262489873,"frozenset({'C1_Apr', 'Apr_1', 'F10_Apr'})"
0.5730488792870645,"frozenset({'F1_Apr', 'C2_Apr', 'CR_0'})"
0.5897920604914934,"frozenset({'F2_Apr', 'C2_Apr', 'CR_0'})"
0.586821496084256,"frozenset({'C2_Apr', 'F3_Apr', 'CR_0'})"
0.5511747231974075,"frozenset({'F4_Apr', 'C2_Apr', 'CR_0'})"
0.5706184174993248,"frozenset({'F5_Apr', 'C2_Apr', 'CR_0'})"
0.5627869295166081,"frozenset({'F6_Apr', 'C2_Apr', 'CR_0'})"
0.5554955441533892,"frozenset({'C2_Apr', 'CR_0', 'F7_Apr'})"
0.5490143127194167,"frozenset({'C2_Apr', 'CR_0', 'F8_Apr'})"
0.5433432352146907,"frozenset({'C2_Apr', 'CR_0', 'F9_Apr'})"
0.5617067242776127,"frozenset({'C2_Apr', 'CR_0', 'F10_Apr'})"
0.6284093977855792,"frozenset({'C2_Apr', 'Apr_1', 'CR_0'})"
0.5876316500135026,"frozenset({'F1_Apr', 'F2_Apr', 'C2_Apr'})"
0.5806103159600324,"frozenset({'F1_Apr', 'F3_Apr', 'C2_Apr'})"
0.5444234404536862,"frozenset({'F1_Apr', 'F4_Apr', 'C2_Apr'})"
0.5698082635700783,"frozenset({'F1_Apr', 'F5_Apr', 'C2_Apr'})"
0.5571158520118823,"frozenset({'F6_Apr', 'C2_Apr', 'F1_Apr'})"
0.5514447745071563,"frozenset({'F1_Apr', 'C2_Apr', 'F7_Apr'})"
0.5492843640291656,"frozenset({'F1_Apr', 'C2_Apr', 'F8_Apr'})"
0.5425330812854442,"frozenset({'F1_Apr', 'C2_Apr', 'F9_Apr'})"
0.5584661085606265,"frozenset({'F1_Apr', 'C2_Apr', 'F10_Apr'})"
0.6059951390764245,"frozenset({'F1_Apr', 'Apr_1', 'C2_Apr'})"
0.5927626248987308,"frozenset({'C2_Apr', 'F2_Apr', 'F3_Apr'})"
0.559276262489873,"frozenset({'F4_Apr', 'C2_Apr', 'F2_Apr'})"
0.579530110721037,"frozenset({'F5_Apr', 'F2_Apr', 'C2_Apr'})"
0.5695382122603294,"frozenset({'F6_Apr', 'F2_Apr', 'C2_Apr'})"
0.5646772886848501,"frozenset({'F2_Apr', 'C2_Apr', 'F7_Apr'})"
0.5522549284364029,"frozenset({'F2_Apr', 'C2_Apr', 'F8_Apr'})"
0.5514447745071563,"frozenset({'F2_Apr', 'C2_Apr', 'F9_Apr'})"
0.5700783148798272,"frozenset({'F2_Apr', 'C2_Apr', 'F10_Apr'})"
0.6221982176613556,"frozenset({'C2_Apr', 'F2_Apr', 'Apr_1'})"
0.559276262489873,"frozenset({'C2_Apr', 'F4_Apr', 'F3_Apr'})"
0.5789900081015393,"frozenset({'C2_Apr', 'F5_Apr', 'F3_Apr'})"
0.5684580070213341,"frozenset({'F6_Apr', 'F3_Apr', 'C2_Apr'})"
0.564947339994599,"frozenset({'C2_Apr', 'F3_Apr', 'F7_Apr'})"
0.5546853902241425,"frozenset({'C2_Apr', 'F3_Apr', 'F8_Apr'})"
0.5509046718876587,"frozenset({'C2_Apr', 'F3_Apr', 'F9_Apr'})"
0.5687280583310829,"frozenset({'C2_Apr', 'F3_Apr', 'F10_Apr'})"
0.6176073453956251,"frozenset({'C2_Apr', 'Apr_1', 'F3_Apr'})"
0.5463137996219282,"frozenset({'F5_Apr', 'F4_Apr', 'C2_Apr'})"
0.5384823116392115,"frozenset({'F6_Apr', 'F4_Apr', 'C2_Apr'})"
0.5344315419929787,"frozenset({'F4_Apr', 'C2_Apr', 'F7_Apr'})"
0.5306508236564947,"frozenset({'F4_Apr', 'C2_Apr', 'F8_Apr'})"
0.5230893869835269,"frozenset({'F4_Apr', 'C2_Apr', 'F9_Apr'})"
0.5398325681879557,"frozenset({'F4_Apr', 'C2_Apr', 'F10_Apr'})"
0.5781798541722928,"frozenset({'C2_Apr', 'F4_Apr', 'Apr_1'})"
0.5627869295166081,"frozenset({'F6_Apr', 'F5_Apr', 'C2_Apr'})"
0.5581960572508776,"frozenset({'F5_Apr', 'C2_Apr', 'F7_Apr'})"
0.5482041587901701,"frozenset({'F5_Apr', 'C2_Apr', 'F8_Apr'})"
0.5419929786659465,"frozenset({'F5_Apr', 'C2_Apr', 'F9_Apr'})"
0.5573859033216311,"frozenset({'F5_Apr', 'C2_Apr', 'F10_Apr'})"
0.5987037537132055,"frozenset({'C2_Apr', 'F5_Apr', 'Apr_1'})"
0.5455036456926816,"frozenset({'F6_Apr', 'C2_Apr', 'F7_Apr'})"
0.5365919524709695,"frozenset({'F6_Apr', 'C2_Apr', 'F8_Apr'})"
0.5330812854442344,"frozenset({'F6_Apr', 'C2_Apr', 'F9_Apr'})"
0.5495544153389144,"frozenset({'F6_Apr', 'C2_Apr', 'F10_Apr'})"
0.5903321631109911,"frozenset({'F6_Apr', 'Apr_1', 'C2_Apr'})"
0.5349716446124764,"frozenset({'C2_Apr', 'F7_Apr', 'F8_Apr'})"
0.5352416959222253,"frozenset({'C2_Apr', 'F7_Apr', 'F9_Apr'})"
0.5463137996219282,"frozenset({'C2_Apr', 'F7_Apr', 'F10_Apr'})"
0.5857412908452606,"frozenset({'C2_Apr', 'Apr_1', 'F7_Apr'})"
0.526600054010262,"frozenset({'C2_Apr', 'F8_Apr', 'F9_Apr'})"
0.546583850931677,"frozenset({'C2_Apr', 'F10_Apr', 'F8_Apr'})"
0.5789900081015393,"frozenset({'C2_Apr', 'Apr_1', 'F8_Apr'})"
0.544963543073184,"frozenset({'C2_Apr', 'F10_Apr', 'F9_Apr'})"
0.5719686740480692,"frozenset({'Apr_1', 'C2_Apr', 'F9_Apr'})"
0.5914123683499865,"frozenset({'C2_Apr', 'Apr_1', 'F10_Apr'})"
0.5060761544693492,"frozenset({'C2_Apr', 'Apr_1', 'Sexo_0'})"
0.6573048879287064,"frozenset({'F1_Apr', 'F2_Apr', 'CR_0'})"
0.6492033486362409,"frozenset({'F1_Apr', 'F3_Apr', 'CR_0'})"
0.6022144207399406,"frozenset({'F1_Apr', 'F4_Apr', 'CR_0'})"
0.6278692951660816,"frozenset({'F1_Apr', 'F5_Apr', 'CR_0'})"
0.6111261139616527,"frozenset({'F6_Apr', 'CR_0', 'F1_Apr'})"
0.603294625978936,"frozenset({'F1_Apr', 'CR_0', 'F7_Apr'})"
0.5973534971644613,"frozenset({'F1_Apr', 'CR_0', 'F8_Apr'})"
0.5943829327572239,"frozenset({'F1_Apr', 'CR_0', 'F9_Apr'})"
0.601404266810694,"frozenset({'F1_Apr', 'CR_0', 'F10_Apr'})"
0.619767755873616,"frozenset({'F1_Apr', 'Apr_1', 'CR_0'})"
0.5217391304347826,"frozenset({'F1_Apr', 'CR_0', 'Sexo_0'})"
0.665406427221172,"frozenset({'F2_Apr', 'F3_Apr', 'CR_0'})"
0.6184174993248718,"frozenset({'F4_Apr', 'CR_0', 'F2_Apr'})"
0.6408317580340265,"frozenset({'F5_Apr', 'F2_Apr', 'CR_0'})"
0.6259789359978396,"frozenset({'F6_Apr', 'F2_Apr', 'CR_0'})"
0.6181474480151229,"frozenset({'F2_Apr', 'CR_0', 'F7_Apr'})"
0.6019443694301917,"frozenset({'F2_Apr', 'CR_0', 'F8_Apr'})"
0.6043748312179315,"frozenset({'F2_Apr', 'CR_0', 'F9_Apr'})"
0.6138266270591413,"frozenset({'F2_Apr', 'CR_0', 'F10_Apr'})"
0.6394815014852822,"frozenset({'F2_Apr', 'Apr_1', 'CR_0'})"
0.5322711315149878,"frozenset({'F2_Apr', 'CR_0', 'Sexo_0'})"
0.6230083715906022,"frozenset({'F4_Apr', 'F3_Apr', 'CR_0'})"
0.6429921685120172,"frozenset({'F5_Apr', 'F3_Apr', 'CR_0'})"
0.6284093977855792,"frozenset({'F6_Apr', 'F3_Apr', 'CR_0'})"
0.619767755873616,"frozenset({'F3_Apr', 'CR_0', 'F7_Apr'})"
0.60707534431542,"frozenset({'F3_Apr', 'CR_0', 'F8_Apr'})"
0.6084256008641642,"frozenset({'F3_Apr', 'CR_0', 'F9_Apr'})"
