Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sem,Sexo,Apr
Ingeniería Civil Industrial,71.0,80.0,0.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,95.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,90.0,100.0,72.73,100.0,60.0,100.0,100.0,100.0,95.0,0.0,70.0,100.0,100.0,100.0,100.0,100.0,20.0,84.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,95.0,55.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.0,100.0,100.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,81.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,74.5,65.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,90.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,28.0,55.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,90.91,100.0,100.0,60.0,75.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,74.5,100.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,74.5,0.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.0,0.0,0.0,6,2.0,2.0,0,0
Ingeniería Civil Industrial,56.0,55.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,50.0,100.0,100.0,0.0,64.0,66.0,66.0,33.0,33.0,33.0,100.0,0.0,100.0,100.0,90.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,95.0,65.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,60.0,17.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,66.0,85.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,61.0,0.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,95.45,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,81.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,70.0,0.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,0.0,0.0,6,2.0,2.0,1,0
Ingeniería Civil Industrial,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,65.0,51.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,95.0,105.0,5.0,90.0,100.0,100.0,40.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,74.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,74.0,55.0,0.0,100.0,100.0,100.0,75.0,100.0,100.0,60.0,50.0,100.0,0.0,66.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,95.0,80.0,100.0,105.0,0.0,100.0,100.0,100.0,35.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,73.0,0.0,0.0,6,2.0,2.0,1,1
Ingeniería Civil Industrial,90.0,75.0,0.0,100.0,0.0,100.0,100.0,100.0,40.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,105.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,0.0,0.0,6,2.0,2.0,0,1
Ingeniería Civil Industrial,96.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,90.0,105.0,0.0,55.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,0.0,0.0,6,2.0,2.0,0,1
