,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
43,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,4,3,4,4,4,1,4,0,4,4,0,4,0,4,4,0,4,4,4,4,4,4,4.0,4,4,4.0,0,4,4,4,4,0,4,4,85,4,1,2,0,1
44,Ingeniería Civil Informática,4,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,0.0,4,4,4,4,4,4,4,4,82,7,1,2,0,1
45,Ingeniería Civil Plan Común,4,1,0,4,4,4,4,4,4,4,4,3,4,0,4,0,4,0,4,0,0,4,4,4,4,4,3,4,2,0.0,0,1,4.0,4,4,4,0,4,4,0,4,66,11,1,2,1,1
46,Ingeniería Civil Plan Común,2,2,4,4,4,4,3,0,4,4,4,1,4,4,4,4,0,4,4,4,4,4,0,4,4,0,4,4,4,3.0,4,4,3.0,4,4,4,4,4,4,4,4,65,11,2,2,1,1
47,Ingeniería Civil Plan Común,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4.0,0,4,4.0,4,0,4,4,4,4,4,4,88,11,1,2,0,1
48,Ingeniería Civil Eléctrica,1,0,0,0,4,3,3,4,1,0,0,4,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0.0,4,0,0.0,4,0,0,0,0,0,0,0,1,4,1,2,0,0
49,Ingeniería Civil Eléctrica,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,93,4,1,2,0,1
50,Ingeniería Civil Plan Común,4,0,1,0,4,4,3,4,4,4,4,4,0,4,4,4,0,4,4,4,4,0,1,4,4,4,4,4,4,4.0,4,4,4.0,0,0,0,0,0,0,0,0,71,11,1,2,0,1
51,Ingeniería Civil Plan Común,4,1,0,4,3,4,1,4,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,3,4.0,4,4,4,4,4,4,4,4,76,11,1,2,0,1
52,Ingeniería Civil Plan Común,1,1,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,0.0,0,3,1.0,4,0,4,4,4,4,4,4,69,11,1,2,1,1
53,Ingeniería Civil Informática,4,4,0,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,0,4.0,0,4,4,0,4,4,4,0,91,7,1,2,0,1
54,Ingeniería Civil Plan Común,4,4,0,4,0,4,3,1,4,0,2,4,3,4,0,0,0,0,0,0,0,0,0,4,4,4,4,0,3,4.0,4,4,4.0,0,0,0,0,0,0,0,0,78,11,1,2,0,1
55,Ingeniería Civil Plan Común,4,1,0,0,3,4,0,4,3,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.0,2,4,3.0,4,4,4,4,4,4,4,4,74,11,1,2,0,1
56,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,90,4,1,2,0,1
57,Ingeniería Civil Plan Común,3,4,0,4,4,4,3,4,4,4,2,4,3,4,0,4,4,4,4,4,4,4,0,4,0,4,4,4,2,4.0,4,0,4.0,4,4,4,4,4,4,4,4,73,11,1,2,1,1
58,Ingeniería Civil Metalúrgica,4,1,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,78,10,1,2,0,1
59,Ingeniería Civil Eléctrica,4,3,0,0,4,2,0,4,3,4,4,0,0,4,0,0,3,4,3,0,0,0,0,4,4,4,4,1,0,3.0,4,0,0.0,0,0,4,4,0,4,4,4,64,4,1,2,0,1
60,Ingeniería Civil Plan Común,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,0,4,4,4,4,4,4,4,68,11,1,2,0,1
61,Ingeniería Civil Plan Común,4,1,0,4,4,0,0,4,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2.0,0,3,4.0,4,4,4,4,0,4,0,0,53,11,1,2,0,0
64,Ingeniería Comercial,0,4,4,4,4,4,1,4,0,4,2,1,4,4,4,4,0,4,4,4,4,4,4,1,4,4,4,4,4,1.0,0,0,4.0,4,4,4,4,4,4,4,4,86,14,0,2,1,1
65,Ingeniería Civil Eléctrica,1,0,0,0,0,4,4,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,10,4,1,2,0,0
66,Ingeniería Civil Plan Común,4,4,0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,97,11,1,2,0,1
67,Ingeniería Civil Plan Común,4,0,0,4,0,4,4,4,4,4,0,4,4,0,0,0,0,4,4,4,0,0,0,0,4,4,4,4,4,4.0,4,0,0.0,4,0,0,0,0,0,0,0,48,11,1,2,0,0
68,Ingeniería Civil Plan Común,1,1,1,4,4,4,4,4,1,4,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,3.0,4,1,4.0,4,4,4,4,0,0,0,4,43,11,1,2,0,0
69,Ingeniería Civil Informática,4,1,0,4,0,4,3,4,1,4,4,4,3,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,70,7,1,2,1,1
71,Ingeniería Civil Metalúrgica,4,4,0,0,3,4,4,4,3,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,88,10,1,2,0,1
72,Ingeniería Civil Plan Común,3,0,1,4,4,4,4,1,3,1,4,3,1,4,0,4,4,0,4,0,1,2,4,4,4,4,4,0,0,2.0,1,0,1.0,0,0,0,0,0,0,0,0,41,11,1,2,0,0
73,Ingeniería Civil Plan Común,1,4,0,0,3,4,1,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,0.0,4,0,0.0,0,4,4,0,4,0,0,4,61,11,1,2,1,1
74,Ingeniería Civil Plan Común,1,4,0,4,4,2,1,4,4,4,2,4,1,4,4,4,4,4,4,4,4,4,0,4,4,4,2,4,1,4.0,0,2,1.0,4,4,4,4,4,4,4,0,68,11,1,2,1,1
75,Ingeniería Civil Plan Común,2,4,0,4,0,4,1,0,1,4,2,0,0,4,4,4,0,4,4,0,4,4,4,4,4,4,4,3,1,3.0,3,3,0.0,0,0,0,0,0,0,0,0,58,11,1,2,1,1
76,Ingeniería Civil Plan Común,4,1,0,4,1,4,0,4,1,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0.0,0,0,0.0,4,4,4,4,4,4,4,4,67,11,1,2,0,1
77,Ingeniería Civil Eléctrica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,91,4,1,2,0,1
79,Ingeniería Civil Metalúrgica,4,1,0,0,0,4,3,4,1,4,4,4,4,0,0,0,0,4,4,4,4,0,4,0,4,1,4,0,4,0.0,0,0,0.0,4,4,0,4,4,4,0,0,58,10,1,2,0,1
80,Ingeniería Civil Plan Común,3,1,0,4,4,4,3,4,3,4,4,4,1,4,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,1.0,0,0,0.0,4,4,0,4,0,0,4,4,39,11,1,2,0,0
