,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
37,Ingeniería Civil Eléctrica,96,100,0,100,100,100,60,100,80,100,100,100,100,100,0,0,93,100,95,89,98,95,0,100,100,100,100,100,100,95.0,90,0,100.0,100,100,100,100,100,100,100,100,94,4,1,2,0,1
38,Ingeniería Civil Plan Común,52,50,75,100,0,100,60,0,40,100,100,100,20,86,84,100,100,97,0,94,100,98,100,100,90,50,0,70,100,95.0,45,82,54.0,100,0,0,100,100,0,100,100,59,11,1,2,0,1
39,Ingeniería Civil Plan Común,26,0,0,100,100,100,20,100,60,60,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,80,92,0,100,0.0,90,100,0.0,100,0,0,0,100,100,0,0,13,11,1,2,1,0
40,Ingeniería Civil Plan Común,35,25,80,100,100,100,100,100,20,100,100,100,100,100,100,100,100,100,100,80,100,98,100,100,100,95,100,80,100,65.0,27,0,25.0,100,100,100,100,100,100,100,100,71,11,1,2,0,1
41,Ingeniería Civil Metalúrgica,98,100,0,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,99,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,99,10,1,2,1,1
42,Ingeniería Civil Metalúrgica,90,85,0,0,100,100,100,40,60,0,0,100,40,100,100,100,65,0,100,0,98,73,100,87,100,90,90,0,90,45.0,70,90,0.0,100,100,0,100,100,100,100,100,76,10,1,2,0,1
43,Ingeniería Civil Eléctrica,75,90,0,100,100,100,80,100,60,100,100,100,20,100,0,100,100,0,100,0,100,100,0,87,100,100,100,100,100,100.0,90,100,92.0,0,100,100,100,100,0,100,100,85,4,1,2,0,1
44,Ingeniería Civil Informática,100,40,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,95,80,100,100,100,80.0,100,100,0.0,100,100,100,100,100,100,100,100,82,7,1,2,0,1
45,Ingeniería Civil Plan Común,100,25,0,100,100,100,100,100,80,80,75,60,100,0,100,0,100,0,100,0,0,100,100,100,100,90,62,70,50,0.0,0,15,77.0,100,100,100,0,100,100,0,100,66,11,1,2,1,1
46,Ingeniería Civil Plan Común,46,50,85,100,100,100,60,0,80,100,100,20,100,100,100,100,0,100,94,100,100,100,0,100,100,0,95,100,90,65.0,90,100,62.0,100,100,100,100,100,100,100,100,65,11,2,2,1,1
47,Ingeniería Civil Plan Común,100,80,0,100,100,100,60,100,80,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,0,100,100.0,0,100,100.0,100,0,100,100,100,100,100,100,88,11,1,2,0,1
