Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Comercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0,0,0,14,1,0,1,0
Ingeniería Civil Mecánica,2,0,0,4,1,4,1,4,1,4,4,3,4,4,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,24,0,0,9,1,0,1,0
Ingeniería Civil Industrial,4,4,0,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,1,2,4,4,4,4.0,4.0,1.0,4.0,0.0,4.0,4.0,0.0,90,0,0,6,1,0,1,1
Ingeniería Civil Metalúrgica,4,3,0,4,4,4,4,4,4,0,2,3,1,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,0,0,0,4,0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,69,0,0,10,1,1,1,1
Ingeniería Civil Metalúrgica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,1,0,1,0
Ingeniería Civil Metalúrgica,4,1,0,4,1,4,4,4,1,4,0,0,4,4,4,0,4,4,4,0,4,4,4,4,4,4,4,4,4,1,4,2,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,73,0,0,10,1,0,1,1
Ingeniería Civil,3,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,87,0,0,1,1,0,1,1
Ingeniería Civil Plan Común,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,1,0,1,0
Ingeniería Civil Informática,3,1,3,0,4,0,4,4,4,4,0,1,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,3,4,0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,63,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,64,0,0,9,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,3,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,85,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,97,0,0,9,1,0,1,1
Ingeniería Civil Informática,4,0,2,4,4,4,4,4,4,4,4,1,1,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,84,0,0,7,1,0,1,1
Ingeniería Civil Informática,4,4,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99,0,0,7,1,1,1,1
Ingeniería Civil Matemática,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,0,0,4,4,4,4,4,1,1,4,0,0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,48,0,0,8,1,0,1,0
