Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
Ingeniería en Aviación Comercial,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,99,15,2,1,0,1
Ingeniería Civil Industrial,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0
Ingeniería en Aviación Comercial,1,0,0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,15,2,1,1,0
Ingeniería Civil Industrial,1,1,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4,4,4,4,4,4,4,4,0,0,0,1,4,0,4,0,0,0,75,6,2,1,0,1
Ingeniería en Aviación Comercial,1,0,0,1.0,1.0,4.0,4.0,2.0,0.0,4.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0,4,4,4,4,2,4,1,0,0,4,4,4,4,4,4,4,0,3,15,2,1,1,0
Ingeniería Civil Industrial,1,4,0,4.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4,4,4,4,4,4,2,3,0,0,4,4,4,4,0,0,4,0,70,6,2,1,1,1
Ingeniería Civil Industrial,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,97,6,2,1,0,1
Ingeniería Civil Industrial,1,1,1,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,33,6,2,1,0,0
Ingeniería en Aviación Comercial,1,1,0,4.0,1.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4,4,0,4,3,0,2,0,4,4,0,0,0,4,0,0,0,22,15,2,1,0,0
Ingeniería en Aviación Comercial,1,0,4,1.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,0,4,4,4,4,0,4,0,4,4,4,4,4,4,4,62,15,2,1,1,1
Ingeniería Civil Industrial,1,4,0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,1,2,4,1,4,4,4,4,4,0,4,0,70,6,2,1,1,1
Ingeniería en Aviación Comercial,1,4,1,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4,4,4,4,4,0,4,4,4,4,4,4,1,4,4,4,1,4,66,15,2,1,0,1
Ingeniería Civil Industrial,4,3,0,4.0,1.0,4.0,2.0,2.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,0,4,0,77,6,2,1,1,1
Ingeniería Civil Industrial,2,4,0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,2,4,4,65,6,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0
Ingeniería Civil Industrial,4,3,0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0,3,4,4,0,4,3,4,4,4,4,4,2,79,6,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
