Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Construcción Civil,65,0,-,10,10,10,4,10,10,8.33,2.5,0,10,90,100,-,100,100,-,100,-,-,-,95,100,100,100,100,100,100,100,100,100,,,,,,,,,33,0,0,0,0,0,1,0
Ingeniería Civil Informática,90,100,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,98,0,0,7,0,1,1,1
Ingeniería Civil Plan Común,55,0,-,10,10,0,8,10,10,10,10,-,10,100,100,100,100,100,100,-,-,-,-,90,100,-,0,-,-,35,-,85,-,,,,,,,,,28,0,0,11,0,0,1,0
Ingeniería Civil Ambiental,51,90,-,10,10,10,10,7.5,8,10,10,4,10,100,100,100,100,100,100,-,100,-,100,95,100,85,100,95,75,45,85,0,0,,,,,,,,,76,0,0,2,0,0,1,1
Ingeniería Civil Electrónica,41,100,-,-,-,10,8,7.5,-,3.33,10,6,10,-,-,100,100,100,-,100,100,-,100,-,75,80,100,95,-,21,100,25,-,,,,,,,,,65,0,0,5,0,0,1,1
Ingeniería Civil Informática,68,0,100,0,10,10,8,10,10,10,10,10,10,100,-,100,100,100,94,100,100,100,100,100,90,100,100,90,85,100,100,100,100,,,,,,,,,74,0,0,7,0,0,1,1
Ingeniería Civil Informática,95,100,-,10,10,10,10,10,8,10,10,10,10,100,100,100,-,100,100,100,100,100,-,90,90,0,100,90,100,100,100,0,100,,,,,,,,,92,0,0,7,0,0,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,8,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,95,90,100,100,100,100,100,100,100,100,,,,,,,,,99,0,0,7,0,0,1,1
Construcción Civil,56,75,-,0,10,10,8,10,6,6.67,8,10,-,90,93,100,98,100,100,0,100,100,100,95,100,100,100,100,100,100,100,100,-,,,,,,,,,72,0,0,0,0,1,1,1
Ingeniería Civil Mecánica,83,100,-,10,10,10,10,7.5,6,10,10,10,10,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,,,,,,,,,94,0,0,9,0,0,1,1
