Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Informática,73,55,-,10,10,10,10,10,8,10,10,-,10,-,98,100,95,97,-,-,-,-,-,100,100,100,95,100,100,-,95,80,-,,,,,,,,,69,0,0,7,1,0,1,1
Ingeniería Civil Informática,79,95,-,10,10,0,7.5,7.5,6,6.67,10,8,10,79,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,86,100,100,100,,,,,,,,,88,0,0,7,1,0,1,1
Ingeniería Civil,73,80,-,10,10,10,10,7.5,10,8,10,0,10,100,100,-,100,100,-,100,-,-,92,100,100,100,100,0,0,0,100,100,0,,,,,,,,,75,0,0,1,1,0,1,1
Ingeniería Civil Matemática,55,50,67,10,10,0,8,5,10,10,10,4,10,96,98,100,100,100,100,98,100,100,100,95,95,95,90,95,100,95,95,20,65,,,,,,,,,73,0,0,8,1,0,1,1
Ingeniería Civil,0,10,-,0,2,10,8,7.5,8,6.67,2.5,2,4,-,-,-,-,-,-,-,-,-,-,0,50,40,35,0,35,20,30,0,0,,,,,,,,,5,0,0,1,1,0,1,0
Ingeniería Civil Plan Común,55,70,100,10,-,-,10,-,-,1.67,-,-,-,100,100,-,100,100,-,100,100,56,-,95,85,95,85,0,0,-,80,90,90,,,,,,,,,63,0,0,11,1,0,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,8,10,4,10,10,6,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,,,,,,,,,97,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,73,100,100,10,10,0,2.5,10,10,10,10,8,10,81,83,100,86,100,98,81,100,94,99,75,100,100,100,100,80,100,100,100,100,,,,,,,,,95,0,0,9,1,0,1,1
Ingeniería Civil Informática,96,100,-,0,10,10,10,5,8,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,,,,,,,,,96,0,0,7,1,0,1,1
Ingeniería Civil,70,65,-,0,10,10,10,10,6,8,10,10,10,100,100,100,100,100,100,100,100,100,100,95,100,85,100,100,100,100,100,95,95,,,,,,,,,80,0,0,1,1,1,1,1
Ingeniería Civil Mecánica,48,60,25,10,10,10,-,10,6,10,10,10,10,77,67,76,59,90,93,96,95,81,100,95,95,100,100,95,100,100,100,100,100,,,,,,,,,43,0,0,9,1,0,1,0
Ingeniería Civil Mecánica,44,70,-,0,10,10,7.5,7.5,10,10,-,0,10,100,100,100,100,100,100,76,100,-,0,90,100,100,100,100,25,0,100,75,50,,,,,,,,,65,0,0,9,1,0,1,1
Ingeniería Civil,20,60,0,0,2,10,5,7.5,-,8,10,2,10,-,-,-,-,-,-,98,-,-,92,70,85,90,95,75,100,36,95,0,0,,,,,,,,,40,0,0,1,1,0,1,0
Ingeniería Civil Plan Común,30,0,-,-,10,10,10,-,-,10,0,6,10,86,90,100,0,-,-,-,-,-,-,90,100,100,100,100,0,-,-,-,0,,,,,,,,,15,0,0,11,1,0,1,0
Ingeniería Civil Informática,95,100,-,10,10,10,8,10,10,10,10,10,10,82,100,100,100,100,100,100,98.75,94,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,97,0,0,7,1,0,1,1
