C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sexo,Sem,Apr,labels
25.0,80.0,50.0,100.0,100.0,100.0,60.0,75.0,0.0,80.0,75.0,20.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,45.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,70.0,7,0.0,0,1.0,1,3
90.0,60.0,0.0,100.0,100.0,100.0,80.0,75.0,80.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,90.0,80.0,95.0,100.0,100.0,41.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,8,0.0,0,1.0,1,3
100.0,95.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,97.0,6,0.0,0,2.0,1,3
45.0,0.0,0.0,100.0,100.0,100.0,75.0,100.0,0.0,100.0,67.0,60.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11,0.0,0,2.0,0,1
56.0,100.0,0.0,100.0,100.0,0.0,60.0,100.0,60.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,19,0.0,0,1.0,1,1
40.0,0.0,0.0,100.0,60.0,100.0,100.0,25.0,40.0,100.0,33.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0,100.0,20.0,11,0.0,0,2.0,0,4
85.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,100.0,55.0,100.0,100.0,98.0,70.0,100.0,100.0,95.0,85.71,100.0,100.0,60.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,84.0,1,0.0,0,2.0,1,0
35.0,95.0,0.0,100.0,40.0,0.0,60.0,75.0,60.0,50.0,100.0,40.0,100.0,86.0,100.0,95.0,69.0,84.0,83.0,72.0,71.0,86.0,96.0,95.0,100.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,9,0.0,0,1.0,1,2
100.0,100.0,0.0,100.0,100.0,100.0,80.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,1,0.0,1,1.0,1,3
100.0,40.0,0.0,100.0,60.0,100.0,80.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1,0.0,1,1.0,1,0
60.0,95.0,0.0,100.0,100.0,20.0,100.0,25.0,80.0,100.0,83.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,95.0,100.0,100.0,0.0,55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,12,0.0,1,2.0,1,4
20.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,71.0,80.0,74.0,63.0,0.0,91.0,96.0,0.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,95.0,100.0,0.0,100.0,70.0,100.0,100.0,100.0,100.0,100.0,100.0,10.0,5,0.0,0,2.0,0,3
100.0,100.0,0.0,100.0,100.0,100.0,80.0,100.0,80.0,0.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,7,0.0,1,1.0,1,2
100.0,90.0,0.0,100.0,100.0,0.0,60.0,100.0,40.0,66.7,75.0,100.0,100.0,92.0,98.0,0.0,92.0,91.0,99.0,90.0,85.0,96.0,0.0,95.0,90.0,0.0,100.0,95.0,100.0,40.0,100.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,7,0.0,0,1.0,1,2
93.0,100.0,0.0,100.0,100.0,100.0,25.0,100.0,40.0,100.0,67.0,80.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,80.0,100.0,95.0,100.0,50.0,100.0,90.0,95.0,20.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,89.0,5,0.0,0,2.0,1,3
100.0,100.0,0.0,100.0,100.0,100.0,80.0,75.0,60.0,100.0,50.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1,0.0,1,1.0,1,0
46.0,60.0,100.0,100.0,20.0,100.0,100.0,75.0,100.0,100.0,100.0,60.0,100.0,95.0,95.0,100.0,100.0,99.0,100.0,96.0,100.0,100.0,99.0,95.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,0,0.0,1,1.0,1,3
